Atomic Absorption Spectrometer,ThermoFisher SCIENTIFIC,iCE 3500,PURSE
Compression set,Prompt Engineering Works,,University Fund
Contact Angle Goniometer,"Rame-hart instruments co.,",Model 290,RUSA
Deep Freezer,Eppendorf,Cryocube F570,RUSA
Dynamic Mechanical Analysis,"TA Instruments, USA",SQ800,DST FIST
Differential scanning calorimetry,TA Instruments,Q100,MHO Project
Hardmatic HH 300 DUROMETER,Mitutoyo Corporation,HH 300 Series 811,University Fund
Electrochemical workstation/Analyser,CH instruments,CHI660E,DST FIST
FTIR Spectrometer,PerkinElmer,PerkinElmerL1600E,DST FIST
Gas permeability Tester,Systester,GTR-7002,Satate Plan
GPC,Empower option GPC,WATERS 2414,MHO Netherlands
Haake Polylab QC Internal Mixer,"Thermo Fisher, Germany",HAAKE 567-0050,SAP I Project
HOMOGENIZER,ULTRA-TURRAX,IKA T25,UNIVERSITY FUND
Impact Tester,CEAST Resil Impactor,CEAST,University Fund
Impedance Analyser,Agilent Technologies Japan,4294A,DST-Purse project
Micro injection moulding machine,DSM Xplore,DSM XPLORE,UNIVERSITY FUND
Keithley Nanovoltmeter,"Tektronics Inc., U.S.",Keithley,MHO project
Limittting Oxygen Index Analyzer [LOI],Alpha Technoloies,ALPHA TECH,DST FAST TRACK
Mechanical stability tester,KLAXON,KLAXON,University Fund
Melt Flow Index tester,CEAST,ceast,University Fund
Lyophiliser (Freeze Dryer),CHRIST Freeze Dryer,2-4 LD Plus,RUSA
Refractometer,"ATAGO, JAPAN",Model DR-M2,DRDO Project 2
Rubber Processor Analyser RPA 2000,Alpha Technologies USA,RPA 2000,FIST (January 2004)
THERMOGRAVIMETRIC ANALYSER,TA instruments,TA QA 50,MHO
Ultracentrifuge,Hermle,Z 36 HK,RUSA
Ultrasonicator,"SONICS & MATERIALS,",Vibra-Cell VCX 750,University Fund
Universal Testing Machine,DAK System Inc,T-72052 Hi-Tech,UGC SAP DRS II
"Universal Testing Machine (UTM),",Shimadzu,AG1,MHO Netherland
UV-Visible spectrophotometer,Elico,SL 210,ISRO
Rubber Processability Tester,Prescott Instruments Ltd.,Rheoline,UGC SAP DRS II
